Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn);Høyeste vindkast (døgn);Middel av middelvind fra hovedobs. (døgn);Snødybde
Blåsjø;SN40510;01.01.2015;15;17,3;9,4;-
Blåsjø;SN40510;02.01.2015;24,7;27;16,2;-
Blåsjø;SN40510;03.01.2015;22,3;25,8;12,6;-
Blåsjø;SN40510;04.01.2015;14,1;16,6;8,3;-
Blåsjø;SN40510;05.01.2015;3,4;3,8;2;-
Blåsjø;SN40510;06.01.2015;12;13,9;8,3;-
Blåsjø;SN40510;07.01.2015;12;13,6;7,2;-
Blåsjø;SN40510;09.01.2015;14,7;16,8;6,1;-
Blåsjø;SN40510;10.01.2015;31,9;39,9;14,3;-
Blåsjø;SN40510;11.01.2015;28,8;33,5;14,2;-
Blåsjø;SN40510;12.01.2015;25,2;27;15,6;-
Blåsjø;SN40510;13.01.2015;24,3;27,4;12,3;-
Blåsjø;SN40510;14.01.2015;15,1;17,8;9,4;-
Blåsjø;SN40510;15.01.2015;19,7;23,7;12,8;-
Blåsjø;SN40510;16.01.2015;21,7;25,2;14,2;-
Blåsjø;SN40510;17.01.2015;18;20,4;11,4;-
Blåsjø;SN40510;18.01.2015;11,7;13;2,9;-
Blåsjø;SN40510;19.01.2015;6,8;7,4;3,6;-
Blåsjø;SN40510;20.01.2015;14,5;16,3;11,3;-
Blåsjø;SN40510;21.01.2015;16,1;18,9;7;-
Blåsjø;SN40510;22.01.2015;6,8;7,6;1,8;-
Blåsjø;SN40510;23.01.2015;13,6;15,8;7;-
Blåsjø;SN40510;24.01.2015;14,8;17;9,1;-
Blåsjø;SN40510;25.01.2015;13,4;15,2;3,9;-
Blåsjø;SN40510;26.01.2015;11,5;12,9;7,5;-
Blåsjø;SN40510;27.01.2015;10,9;12,2;5,9;-
Blåsjø;SN40510;28.01.2015;8;9,3;6;-
Blåsjø;SN40510;29.01.2015;13,5;16,3;8,1;-
Blåsjø;SN40510;30.01.2015;14,4;17,7;11,1;-
Blåsjø;SN40510;31.01.2015;15,9;17,2;7;-
Blåsjø;SN40510;01.02.2015;6,4;7,4;2,3;-
Blåsjø;SN40510;02.02.2015;5,2;5,7;1,3;-
Blåsjø;SN40510;03.02.2015;4,2;4,3;1,5;-
