item_id,timestamp,target,volume_demand,volume_production,price_lag_1d,price_lag_7d,price_lag_30d,month_sin,month_cos,Fill_Level,Avg_Temp,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,is_weekend_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year_2017,year_2018,season_Spring,season_Summer,season_Winter
1,2016-01-30,15.345416666666669,0.8427828465086221,-0.37353653402603815,-1.6449972896960587,-0.7830813306132868,-1.6635730672367603,0.0,1.0,0.7022763408593803,-1.461952165443219,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2016-01-31,16.520833333333332,0.8292376465842349,-0.05154913535968739,-1.737056163357571,-0.9692813965200705,-1.6355758770575597,0.0,1.0,0.6877839380796892,-0.4471986087745752,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2016-02-01,18.585416666666667,1.3810323587581803,0.8394922302926305,-1.6066856399644356,-0.75968298773628,-1.7854963147913452,0.4999999999999999,0.8660254037844387,0.6732915352999981,-0.4471986087745752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2016-02-02,16.95625,1.1964503123309485,0.3821934294645387,-1.3776938131608236,-1.4309053297863206,-1.7051172849220266,0.4999999999999999,0.8660254037844387,0.6485045310127578,-1.0814195816924776,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2016-02-03,17.78125,1.2961452795710298,0.8467704028785425,-1.5583917027273466,-1.5893844673850037,-1.3921307753559775,0.4999999999999999,0.8660254037844387,0.6237175267255185,-0.3203544141909947,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2016-02-04,18.259166666666665,1.4948464750719863,1.2477742343862108,-1.4668874005939156,-1.574584310745933,-1.245321136530992,0.4999999999999999,0.8660254037844387,0.5989305224382783,-0.3203544141909947,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2016-02-05,20.747916666666665,1.5522413900058263,1.7797590858002021,-1.4138796053681353,-1.6484911246927842,-0.526224846838685,0.4999999999999999,0.8660254037844387,0.5741435181510381,-0.3203544141909947,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2016-02-06,15.900416666666668,0.7347656166031336,0.08587528464957599,-1.1378416272656182,-1.7420844962008115,-0.7535138638848854,0.4999999999999999,0.8660254037844387,0.549356513863798,-0.3203544141909947,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2016-02-07,14.692083333333334,0.5554639023498148,-0.32908489930777984,-1.6754987237405357,-1.6095408711886905,-0.3815225234035317,0.4999999999999999,0.8660254037844387,0.5245695095765586,-0.3203544141909947,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2016-02-08,15.02125,0.9729545135785729,-0.059479473947920886,-1.8095201763602073,-1.3767320580248972,-0.7131236522464329,0.4999999999999999,0.8660254037844387,0.4997825052893184,-0.3203544141909947,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2016-02-09,17.056250000000002,0.967731576319593,0.6139471400496368,-1.7730108840948486,-1.5604419388463768,-1.0507456822031405,0.4999999999999999,0.8660254037844387,0.47137879865988086,-0.3203544141909947,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2016-02-10,18.714166666666667,1.1205742347884102,1.4906408536508728,-1.5473002721657185,-1.4674123828293615,0.2729996018432,0.4999999999999999,0.8660254037844387,0.44297509203044255,-0.3203544141909947,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
